PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
FA0005332,Starbucks Coffee Co.,FA0005332,Starbucks Coffee Co.,110 W TUDOR RD,ANCHORAGE,AK,99503-7230,08B
FA0005433,TERRA BELLA INC,FA0005433,TERRA BELLA INC,601 E DIMOND BLVD STE 6,ANCHORAGE,AK,99515-2002,06A
FA0005481,BROTHER FRANCIS SHELTER,FA0005481,BROTHER FRANCIS SHELTER,1021 E 3RD AVE,ANCHORAGE,AK,99501-6102,01E
FA0005725,CAROUSEL LOUNGE,FA0005725,CAROUSEL LOUNGE,3206 SPENARD RD,ANCHORAGE,AK,99503,03B
FA0005745,SUPERSTAR PASTRY DESIGN,FA0005745,SUPERSTAR PASTRY DESIGN,3020 MINNESOTA DR 1A,ANCHORAGE,AK,99503-3674,03B
FA0000269,PEGGYS RESTAURANT,FA0000269,PEGGYS RESTAURANT,1675 E 5TH AVE,ANCHORAGE,AK,99501-2836,02C
FA0000272,PIZZA OLYMPIA,FA0000272,PIZZA OLYMPIA,2809 SPENARD RD,ANCHORAGE,AK,99503,03B
FA0000343,CAMPO BELLO,FA0000343,CAMPO BELLO,601 W 36TH AVE 11,ANCHORAGE,AK,99503-5847,08C
FA0005779,JUDICIAL JAVA,FA0005779,JUDICIAL JAVA,825 W 4TH AVE,ANCHORAGE,AK,99501-2004,01D
FA0005841,GATEWAY LEARNING CENTER,FA0005841,GATEWAY LEARNING CENTER,801 KARLUK ST STE 110,ANCHORAGE,AK,99501-3946,02C
FA0006148,UAA - CUDDY COFFEE HOUSE,FA0006148,UAA - CUDDY COFFEE HOUSE,3400 SEAWOLF DR,ANCHORAGE,AK,99508,02A
FA0006198,HOMEWOOD SUITES - POOL,FA0006198,HOMEWOOD SUITES - POOL,101 W 48TH AVE,ANCHORAGE,AK,99503,08B
FA0006382,McDonald's,FA0006382,McDonald's,2601 EAST TUDOR RD,ANCHORAGE,AK,99507-1133,04B
FA0006480,DANIEL'S GOURMET SAUSAGES-S,FA0006480,DANIEL'S GOURMET SAUSAGES-S,7TH & G ST,ANCHORAGE,AK,MOBILE,01C
FA0006723,Crowne Plaza Hotel/Juno Bar,FA0006723,Crowne Plaza Hotel/Juno Bar,109 W INTERNATIONAL AIRPORT RD,ANCHORAGE,AK,99518,08A
FA0007172,SAND LAKE ELEMENTARY SCHOOL,FA0007172,SAND LAKE ELEMENTARY SCHOOL,7500 JEWEL LAKE RD,ANCHORAGE,AK,99502-2832,09B
FA0007794,THAI SIAM RESTAURANT,FA0007794,THAI SIAM RESTAURANT,3801 LOIS DR,ANCHORAGE,AK,99517-2650,08B
FA0008145,GROUND THEORY/GRANT HALL COFFEE SHOP,FA0008145,GROUND THEORY/GRANT HALL COFFEE SHOP,4101 UNIVERSITY DR,ANCHORAGE,AK,99508-4625,04C
FA0008341,HOLLY'S HOT DOGS -S,FA0008341,HOLLY'S HOT DOGS -S,3001 CONCORD LN,ANCHORAGE,AK,99502-3121,09A
FA0009047,PHO GRILL,FA0009047,PHO GRILL,8809 JEWEL LAKE RD,ANCHORAGE,AK,99502,09B
FA0009335,Yakitori Sushi House Restaurant,FA0009335,Yakitori Sushi House Restaurant,2834 E TUDOR RD #B,ANCHORAGE,AK,99507-1138,04B
FA0009680,WEST HIGH EAGLE CACHE,FA0009680,WEST HIGH EAGLE CACHE,1700 HILLCREST DR,ANCHORAGE,AK,99517-1347,03A
FA0009789,AVIATOR LOUNGE,FA0009789,AVIATOR LOUNGE,239 W 4TH AVE,ANCHORAGE,AK,99501-2318,01E
FA0000015,GRANNY B'S CAFE,FA0000015,GRANNY B'S CAFE,1201 W TUDOR RD,ANCHORAGE,AK,99503-6500,08B
FA0000390,ALYESKA RESORT SEVEN GLACIERS REST,FA0000390,ALYESKA RESORT SEVEN GLACIERS REST,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0000443,ANCH HILTON - BANQUET ROOM,FA0000443,ANCH HILTON - BANQUET ROOM,500 W 3RD AVE,ANCHORAGE,AK,99501-2210,01E
FA0000068,CARRS #1805 - SALAD BAR,FA0000068,CARRS #1805 - SALAD BAR,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0000126,Sis's Deli & Espresso Bar,FA0000126,Sis's Deli & Espresso Bar,5445 OLD SEWARD HWY,ANCHORAGE,AK,99502,04A
FA0000551,PEANUT FARM - BAR,FA0000551,PEANUT FARM - BAR,5227 OLD SEWARD HWY,ANCHORAGE,AK,99518-1454,04A
FA0000245,Burger Jim #1,FA0000245,Burger Jim #1,704 E 4TH AVE,ANCHORAGE,AK,99501-2710,02B
FA0000667,AWAIC,FA0000667,AWAIC,100 W 13TH AVE,ANCHORAGE,AK,99501-4443,02B
FA0000752,NUNAKA VALLEY SCHOOL,FA0000752,NUNAKA VALLEY SCHOOL,1905 TWINING DR,ANCHORAGE,AK,99504-3042,04E
FA0000765,TURNAGAIN SCHOOL,FA0000765,TURNAGAIN SCHOOL,3500 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-1109,05B
FA0012292,CABO COFFEE CITY HALL,FA0012292,CABO COFFEE CITY HALL,632 W 6TH AVE,Anchorage,AK,99501,01C
FA001039,ARCTIC SUSHI,FA001039,ARCTIC SUSHI,401 I ST,Anchorage,AK,99501,01D
FA0013544,BEAN'S CAFÉ-CHILDERENS LUNCH BOX,FA0013544,BEAN'S CAFÉ-CHILDERENS LUNCH BOX,1020 E 4TH AVE.,Anchorage,AK,99501,01E
FA0010895,UAA STUDE DESKNT UNION INFO,FA0010895,UAA STUDE DESKNT UNION INFO,2921 SPIRIT DR.,Anchorage,AK,99508,02A
FA0012628,DIVE BAR,FA0012628,DIVE BAR,1027 E 5TH AVE.,Anchorage,AK,99501,02B
FA0013587,JUST DRINK,FA0013587,JUST DRINK,4724 OLD SEWARD RD.,Anchorage,AK,99503,08B
FA0013629,OUT OF THE BOX,FA0013629,OUT OF THE BOX,3807 SPENARD RD.,Anchorage,AK,99503,08B
FA0010747,NATURAL PANTRY INC-GROCERY,FA0010747,NATURAL PANTRY INC-GROCERY,3680 BARROW ST.,Anchorage,AK,99503,08B
FA0014424,KINGFISHER COFFEE LLC.,FA0014424,KINGFISHER COFFEE LLC.,3831 SPENARD RD.,Anchorage,AK,99501,08B
FA0014323,"ALASKASENSE,LLC DBA CANNABASKA",FA0014323,"ALASKASENSE,LLC DBA CANNABASKA",521 W TUDOR RD.,Anchorage,AK,99503,08B
FA0012648,HILTON HOME2 SUITES/CONTINENTAL BREAKFAST,FA0012648,HILTON HOME2 SUITES/CONTINENTAL BREAKFAST,4700 UNION  SQUARE  DR,Anchorage,AK,99503,08B
FA0010125,KALADI BROTHERS COFFEE,FA0010125,KALADI BROTHERS COFFEE,6861 JEWEL LAKE RD.,Anchorage,AK,99502,09A
FA0011792,CRYSTAL CHILD DEVELOPMENT CENTER-RASPBERRY,FA0011792,CRYSTAL CHILD DEVELOPMENT CENTER-RASPBERRY,6821 WEIMER RD.,Anchorage,AK,99502,09A
FA0010604,TESORO NORTHSHORE #80,FA0010604,TESORO NORTHSHORE #80,6010 OLD SEWARD HWY.,Anchorage,AK,99503,04A
FA0010861,COMMON GROUNDS ESPRESSO FOUR LLC.,FA0010861,COMMON GROUNDS ESPRESSO FOUR LLC.,909 E TUDOR RD.,Anchorage,AK,99515,04A
FA0012831,Sno Flo LLC.,FA0012831,Sno Flo LLC.,5905 LAKE OTIS PKWY D111.,Anchorage,AK,99507,04A
FA0014406,SAVE HIGH SCHOOL,FA0014406,SAVE HIGH SCHOOL,410 E 56TH AVE.,Anchorage,AK,99518,04A
FA0013357,BREWED AWAKENINGS LLC.,FA0013357,BREWED AWAKENINGS LLC.,5655 OLD SEWARD HWY.,Anchorage,AK,99515,04A
FA0013635,AK FUZZY BUDS,AK FUZZY BUDS,AK FUZZY BUDS,2612 EAGLE ST.,Anchorage,AK,99503,03B
FA0012553,PHO VIETNAM#8,FA0012553,PHO VIETNAM#8,602 FIREWEED LN.,Anchorage,AK,99503,03B
FA0013589,Panda Express Chinese Kitchen,FA0013589,Panda Express Chinese Kitchen,1818 W NORTHERN LIGHTS BLVD,Anchorage,AK,99503,03B
FA0013764,REBOUND SPORTS & ORTHOPEDIC PHYSICAL THERAPY,FA0013764,REBOUND SPORTS & ORTHOPEDIC PHYSICAL THERAPY,1980 W BENSON BLVD.,Anchorage,AK,99517,03B
FA0011491,SLAP SHOT ESPRESSO,FA0011491,SLAP SHOT ESPRESSO,1741 W NORTHERN,Anchorage,AK,99503,03B
FA0013578,"DANKORAGE,LLC",FA0013578,"DANKORAGE,LLC",2812 SPENARD RD.,Anchorage,AK,99503,03B
FA0012918,MARCO T'S PIZZERIA,FA0012918,MARCO T'S PIZZERIA,302 W FIREWEED LN.,Anchorage,AK,99503,03B
FA0000927,CARRS #1805 - STARBUCKS,FA0000927,CARRS #1805 - STARBUCKS,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0014239,La Quinta Inn & Suites,FA0014239,La Quinta Inn & Suites,3501 MINNESOTA DR.,Anchorage,AK,99503,03B
FA0010891,"CACHE STORE 1,LLC-GROCERY",FA0010891,"CACHE STORE 1,LLC-GROCERY",1465 W NORTHERN LIGHTS BLVD.,Anchorage,AK,99503,03B
FA0013584,SO THAI,FA0013584,SO THAI,2602 SPENARD RD.,Anchorage,AK,99503,03B
FA0013494,JOJO'S HYPER BEAN LLC.,FA0013494,JOJO'S HYPER BEAN LLC.,100 W FIREWEED LN.,Anchorage,AK,99507,03C
FA0009814,WALGREENS #15362,FA0009814,WALGREENS #15362,12051 OLD GLENN HWY,Anchorage,AK,99577,50B
FA0001294,FRED MEYER - BAKERY,FA0001294,FRED MEYER - BAKERY,7701 DEBARR RD,ANCHORAGE,AK,99504-1894,04H
FA0001480,DOWNTOWN CHEVRON GROCERY,FA0001480,DOWNTOWN CHEVRON GROCERY,832 E 6TH AVE,ANCHORAGE,AK,99501-2745,02B
FA0001675,FIREWEED CHEVRON TNI - SNACK BAR,FA0001675,FIREWEED CHEVRON TNI - SNACK BAR,2500 SEWARD HWY,ANCHORAGE,AK,99503-2804,03B
FA0002185,ANCHORAGE MICROTEL SNACK BAR,FA0002185,ANCHORAGE MICROTEL SNACK BAR,5205 NORTHWOOD DR,ANCHORAGE,AK,99517-3147,03C
FA0003072,NEW SAGAYA'S MIDTOWN MARKET - MEAT,FA0003072,NEW SAGAYA'S MIDTOWN MARKET - MEAT,3700 OLD SEWARD HWY,ANCHORAGE,AK,99503-6037,08C
FA0004098,T.G.I. FRIDAYS BAR,FA0004098,T.G.I. FRIDAYS BAR,190 W TUDOR RD,ANCHORAGE,AK,99503-7230,08B
FA0004835,Lalo's Pizza,FA0004835,Lalo's Pizza,5915 LAKE OTIS PKWY 6,ANCHORAGE,AK,99507-1781,04A
FA0006031,HAMPTON INN - ANCHORAGE - POOL,FA0006031,HAMPTON INN - ANCHORAGE - POOL,4301 CREDIT UNION DR,ANCHORAGE,AK,99503-6658,08B
FA0006072,ZORBAS GYROS,FA0006072,ZORBAS GYROS,2700 BLUEBERRY RD,ANCHORAGE,AK,99503-2625,03B
FA0006515,CARRS #1809-SEAFOOD,FA0006515,CARRS #1809-SEAFOOD,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0006699,STUART ANDERSON'S CATTLE CO-BAR,FA0006699,STUART ANDERSON'S CATTLE CO-BAR,300 W TUDOR RD,ANCHORAGE,AK,99503-6612,08B
FA0007817,ORIENTAL SHOPPING CENTER,FA0007817,ORIENTAL SHOPPING CENTER,408 E FIREWEED LN,ANCHORAGE,AK,99503-2801,03B
FA0000791,HOLIDAY STATIONSTORE #616,FA0000791,HOLIDAY STATIONSTORE #616,12021 OLD GLENN HWY,EAGLE RIVER,AK,99567-6460,NULL
FA0000793,HOLIDAY STATIONSTORE #611,FA0000793,HOLIDAY STATIONSTORE #611,1530 HUFFMAN RD,ANCHORAGE,AK,99515-3524,07E
